time,wr1,wr2,wr3,wr4
6,-531.1363275203992, 529.6339362280072,-530.7514867704767, 529.5324672463272
6.06,-531.091273917094,529.6194955005474,-530.784230605115,529.5585155096398
6.11,-531.0285139666139, 529.5145660568702,-530.7592325287048, 529.7439697234828
6.15,-530.9933616446331, 529.5124295865782,-530.7945291343163, 529.7425253916936
6.19,-530.806916149786,529.6325333324791, -530.84630034731,529.7047192950951
6.27,-530.7633418442182, 529.6918350103844,-530.7527178765303, 529.7787109122004
6.32,-530.7129732643424, 529.7062789418186,-530.7361033859811,  529.827136123427
6.37,-530.8911909775062, 529.7451805574008,-530.5112451763247,  529.843841175918
6.4,-530.8059925417485, 529.7839933183119,-530.5079401687071, 529.8918676506651
6.48,-530.6666582907424,  529.580900175648,-530.7290104361973, 529.8740370384171
6.54,-530.6864463730304, 529.5346260467969,-530.8042568268239, 529.7845922213494
6.61,-530.5306233495427, 529.4949219916147,-530.6577641052517, 530.1173485578171
6.71,-530.5082228971833, 529.7316426539497,-530.4319216729663, 530.1015293774176
6.77,-530.3826031487445, 529.9763310918428,-530.3173148867934, 530.1209347660919
6.84,-530.4098324568354, 529.8671990430432,-530.2885793716197, 530.2365005924356
6.89,-530.4193130478201, 529.7433992889297,-530.5735255087271, 530.0802010545409
6.93,-530.4800458139455, 529.7218469188883,-530.6325672370601,  529.983780531246
6.99,-530.3369252717461, 529.7708311833636,-530.5127296232466, 530.1940452882363
7.07,-530.3947095077228, 529.8511873875243,-530.3375266361346, 530.2278670394805
7.13,-530.2481270808937, 529.8978479783271,-530.4850219546313,  530.153973155221
7.2,-530.5100830347968, 529.7978894815607,-530.3413625461581,  530.110690773171
7.26,-530.4546786194229, 529.9038141897954,-530.3153997801965, 530.0783011533966
7.33,-530.5215329343907, 529.8063122646992,-530.4822534181461, 529.9397057015185
7.38,-530.6036565317957, 529.7254467884171,-530.6008486430244, 529.7984566534778
7.44,-530.5099777726657, 529.8527465860175,-530.7108237286807, 529.6455823782675
7.52,-530.6239562006293, 529.6685896422845,-530.7079308398002, 529.7086704457657
7.59,-530.5042257283145, 529.6908288796982,-530.6666784167165,  529.782926499808
7.67,-530.4144441761157, 529.7667374242504,-530.5864086353026,  529.850297404242
7.74,-530.3449396770246, 529.7879588008251,-530.4167965256723,  530.052868196918
7.81,-530.4966583557849, 529.8394643854366,-530.4772865444126, 529.7799916435043
7.87,-530.5376673906253, 529.8065571338392,-530.5121721428477, 529.7165406339535
7.94,-530.3353576309589, 529.8713080652971,-530.6939523411461, 529.6538722873921
8,-530.4252411682045, 529.8971815441589,-530.5832809868983, 529.6215445536586
8.1,-530.3558628067193, 529.9005481977315,-530.5558875442215, 529.6412192371372
8.13,-530.1799472096346, 529.8331425107164,-530.5371709041257, 529.8493725286654
8.19,-530.1490539772172, 529.8652074107229,-530.4644570797843, 529.8711371369297
8.26,-530.2754281988329, 529.9519345784618,-530.4939356688449, 529.6091684354886
8.35,-530.2979954999518, 529.8093554987911,-530.4947738605102, 529.6423985388617
8.42,-530.2242830639605, 529.8242109230373,-530.4667562999562, 529.6722974070426
8.49,-530.2512112126878, 529.6905484152828,-530.3228500133066,  529.889142782496
8.55,-530.3046687507334, 529.8447759157834,-530.2568563583147, 529.7124350817398
8.59,-530.4021944418643, 529.7462286938362,-530.3222599765562, 529.6153463139332
8.67,-530.4672814087511, 529.5915249321635,-530.3977329835921, 529.5926717649205
8.71,-530.3740430816819, 529.5341552741293,-530.5134718511638, 529.5958853796657
8.77,-530.4528458811908,529.5698571737526,-530.448739949351,529.4834913999683
8.84,-530.4582119403811, 529.5403980319411,-530.4377072329718, 529.4707327800051
8.94,-530.5437986318033, 529.4712991615138,-530.4815907081764, 529.3754215563537
9.01,-530.4397211307512, 529.6005330483657,-530.3648156711538, 529.4575733533695
9.05,-530.4298670440159, 529.5807090168536,-530.3531955047976, 529.4621886262556
9.14,-530.3338559364811, 529.5117652251588,-530.4811103376197, 529.4608567130475
9.21,-530.3467511129343, 529.5022051912551,-530.4625613336768, 529.4405678940528
9.27,-530.3276064545228,  529.520430662518,-530.4475400697729, 529.4073403818109
9.33,-530.3573254538738, 529.5039578762527,-530.4156616202861, 529.4083735887347
9.43, -530.366538173021, 529.4962193134486,-530.3912771101229, 529.4084371415797
9.5,-530.3097492157364, 529.5851052452766,-530.3120974220332, 529.4372861218544
9.56,-530.3588696352579, 529.5158230790315,-530.3649979618858, 529.3801805850346
9.63,-530.4798301546816, 529.5308005432648,-530.2625768779413, 529.3268413463908
9.66,-530.4583949627886, 529.4997954936741,-530.2700084252605, 529.3387325209407
9.76,-530.4336031063957, 529.3882954560723,-530.1145241187561,  529.558847614704
9.79,-530.4615463416199, 529.4065974647667,-530.2426475361361,  529.345357041194
9.87,-530.3845572321006, 529.5859524761385,-530.2032069932729,   529.27711481353
