time,accX,accY,accZ,wRoll,wPitch,wYaw
10.86,     -0.982331,    0.89392121,    -9.5286107,             0, 0.03490658504,-0.05235987756
10.9,       -1.07074079,        0.83498135,-9.754546830000001,     0.01745329252,                 0,    -0.06981317008
10.93,   -0.95286107,    0.65816177,   -9.58755056, 0.01745329252,             0,-0.06981317008
10.96,       -0.74657156,         0.6876317,-9.558080629999999,                 0,     0.03490658504,    -0.13962634016
11,       -0.83498135,        0.80551142,-9.646490419999999,                 0,     0.01745329252,     -0.1745329252
11.03,  -0.89392121,   0.56975198,  -9.78401676,0.01745329252,0.01745329252,-0.1745329252
11.07,       -0.86445128,        0.56975198,-9.725076899999999,     0.01745329252,     0.01745329252,    -0.19198621772
11.1,       -0.95286107,        0.71710163,-9.725076899999999,     0.03490658504,                 0,    -0.20943951024
11.13,       -1.07074079,        0.86445128,-9.646490419999999,     0.03490658504,                 0,    -0.19198621772
11.17,        -1.1787972,        1.10021072,-9.558080629999999,     0.06981317008,                 0,    -0.15707963268
11.2,   -1.20826713,    1.12968065,    -9.5286107, 0.10471975512, 0.01745329252,-0.19198621772
11.23,       -1.20826713,        1.14932727,-9.558080629999999,     0.06981317008,     0.05235987756,    -0.24434609528
11.26,   -1.1787972,    1.1787972,  -9.69560697,0.05235987756,0.03490658504,-0.2617993878
11.3,   -1.12968065,    1.12968065,   -9.81348669, 0.03490658504, 0.03490658504,-0.29670597284
11.34,    -1.1787972,    1.01180093,   -9.99030627,             0, 0.01745329252,-0.33161255788
11.37,   -1.41455664,    0.89392121,  -10.04924613,-0.05235987756,             0,-0.38397243544
11.39,   -1.62084615,    0.89392121,   -9.96083634,-0.06981317008,-0.03490658504,  -0.436332313
11.43,   -1.56190629,    0.89392121,   -9.87242655,-0.12217304764,-0.03490658504,-0.40142572796
11.47,        -1.4734965,        1.10021072,-9.725076899999999,    -0.10471975512,                 0,    -0.38397243544
11.5,       -1.50296643,        1.14932727,-9.666137040000001,    -0.06981317008,     0.03490658504,    -0.40142572796
11.54,   -1.32614685,    1.04127086,   -9.78401676,-0.05235987756, 0.06981317008, -0.3490658504
11.57,   -1.14932727,    0.89392121,   -9.69560697,-0.03490658504,  0.0872664626, -0.3490658504
11.6,       -1.29667692,          0.982331,-9.754546830000001,    -0.03490658504,     0.05235987756,    -0.41887902048
11.64,   -1.26720699,    0.83498135,   -9.78401676,-0.01745329252,-0.01745329252,-0.48869219056
11.67,   -1.04127086,    0.37328578,   -9.78401676, -0.0872664626, -0.0872664626,-0.48869219056
11.71,   -1.01180093,    0.28487599,   -9.81348669,-0.19198621772, -0.0872664626,-0.41887902048
11.75,   -0.86445128,    0.71710163,   -9.58755056,-0.19198621772,             0,-0.38397243544
11.79,   -0.65816177,    0.92339114,   -9.58755056,-0.13962634016,             0,-0.36651914292
11.82,   -0.71710163,    0.89392121,   -9.61702049,-0.01745329252,             0, -0.3490658504
11.85,   -0.71710163,    0.92339114,   -9.44020091, 0.01745329252,             0,-0.38397243544
11.88,        -0.6876317,        0.71710163,-9.558080629999999,     0.03490658504,                 0,    -0.33161255788
11.92,       -0.92339114,        0.43222564,-9.725076899999999,     0.03490658504,    -0.03490658504,     -0.2617993878
11.95,       -1.01180093,        0.37328578,-9.381261050000001,     0.03490658504,                 0,    -0.24434609528
11.98,   -0.92339114,    0.52063543,    -9.2339114, 0.03490658504, 0.03490658504,-0.24434609528
12.02,   -0.86445128,    0.59922191,   -9.32232119,  0.0872664626,             0,-0.22689280276
12.05,       -0.74657156,        0.37328578,-9.646490419999999,      0.0872664626,    -0.03490658504,    -0.20943951024
12.08,       -0.46169557,        0.46169557,-9.646490419999999,      0.0872664626,    -0.03490658504,     -0.1745329252
12.12,    -0.4911655,    0.56975198,   -9.61702049, 0.12217304764,-0.01745329252,-0.15707963268
12.15,       -0.52063543,        0.59922191,-9.754546830000001,     0.13962634016,    -0.05235987756,    -0.13962634016
12.19,       -0.62869184,        0.43222564,-9.842956620000001,     0.20943951024,    -0.13962634016,    -0.12217304764
12.22,   -1.01180093,    0.25540606,  -10.07871606, 0.22689280276,-0.13962634016,-0.06981317008
12.26,     -0.982331,     0.1964662,  -10.07871606, 0.15707963268,-0.06981317008,             0
12.29,  -1.01180093,   0.16699627,  -9.96083634, 0.0872664626,            0,0.05235987756
12.32,  -1.01180093,   0.31434592,  -9.99030627,0.01745329252,0.01745329252,0.10471975512
12.35,  -1.04127086,   0.31434592, -10.07871606,0.03490658504,            0,0.13962634016
12.38,  -0.95286107,    0.1964662,  -9.90189648,0.05235987756,            0, 0.1745329252
12.43,  -0.95286107,   0.31434592,  -9.78401676,0.06981317008,0.01745329252, 0.1745329252
12.46,       -1.12968065,        0.43222564,-9.931366410000001,      0.0872664626,                 0,     0.12217304764
12.5,   -0.92339114,    0.07858648,  -10.04924613, 0.12217304764,-0.01745329252, 0.15707963268
12.53,  -0.83498135,   -0.1964662,  -9.81348669,0.12217304764,            0,0.22689280276
12.56,   -1.04127086,             0,   -9.78401676, 0.01745329252,-0.03490658504, 0.31415926536
12.6,       -1.10021072,        0.10805641,-9.646490419999999,     0.01745329252,    -0.06981317008,     0.27925268032
12.64,   -1.07074079,   -0.07858648,   -9.58755056,             0,-0.05235987756, 0.29670597284
12.67,   -1.20826713,    0.16699627,    -9.5286107,-0.05235987756,-0.10471975512, 0.38397243544
12.71,   -1.41455664,    0.34381585,   -9.49914077,-0.03490658504, -0.1745329252, 0.40142572796
12.74,    -1.4734965,     0.1964662,   -9.49914077, 0.03490658504,-0.15707963268, 0.47123889804
12.78,       -1.50296643,        0.13752634,-9.646490419999999,     0.12217304764,    -0.12217304764,      0.5235987756
12.81,       -1.65031608,        0.31434592,-9.558080629999999,     0.13962634016,    -0.03490658504,     0.48869219056
12.85,       -1.75837249,        0.01964662,-9.842956620000001,     0.15707963268,                 0,     0.54105206812
