time,wr1,wr2,wr3,wr4
18.87,-529.4384671803425, 528.5669884540149,-529.2092450363486, 528.2544530373171
18.95,-529.1473068072103,  528.755028454885,-529.1539183657886, 528.4230610645343
19.02,-529.1139035778716, 528.7583731075308,-529.1930724919858, 528.4067167933291
19.06,-529.1163679206463, 528.7067617999512,-529.1736488039935, 528.4570560980766
19.11,-529.1609372336881, 528.6567467988084,-529.1424093396073,  528.489690111448
19.2,-529.1553358273512,528.7596115654192,-529.129102307517,528.4262317768175
19.28,-529.1289762153173, 528.5703701862208,-529.1291963126648, 528.6485605891839
19.39,-529.2606230653114, 528.4575227319438,-529.1735349153658, 528.5721700275477
19.43,-529.2720686732677, 528.4426041919164,-529.1674430284198, 528.5723187182616
19.54,-529.3808412934555, 528.3313180978581,-529.1405374609059, 528.5918050684121
19.58,-529.3128280103632, 528.4595682490589,-529.2208938955177, 528.4534853845848
19.63,-529.3307989204956, 528.4334811162759,-529.2209515335546, 528.4521187069103
19.68,-529.3445230190384, 528.5016414924917,-529.2266975576047, 528.3752851376839
19.75,-529.3833634862895, 528.3987519642772,-529.1893835940854, 528.4780030502026
19.78,-529.3347618726957, 528.4635826084416,-529.2754521518125, 528.3776649182552
19.85,-529.4546270671117,  528.358282352467,-529.2127670005917, 528.4156032571435
19.9, -529.339026654544, 528.4458235089135,-529.1895446483029, 528.4722951460558
19.96,-529.3497244934307, 528.4125647736945,-529.2218966880878, 528.4573350951515
20.03,-529.5972516286524, 528.1417546496035,-529.1471435353819, 528.5348170558265
20.1,-529.5439039394474, 528.1675483302057,-529.1786268700592, 528.5136165279039
20.15,-529.5692155137803, 528.1926619338853,-529.2238767432063, 528.4240590823465
20.2,-529.5520114218515, 528.1955968478885,-529.2608118333175, 528.3980184279811
20.24,-529.4075911829731, 528.4327552012883,-529.3462311447572, 528.2529014741107
20.33,-529.5309428326567, 528.0575777885816,-529.2924440952216,  528.565619263434
20.38,-529.3358594405222, 528.2955668330208,-529.3753530186632, 528.4643809392059
20.42,-529.4878861411462, 528.3912970309343,-529.3193729164465, 528.3164155803624
20.48,-529.3833681797811, 528.1476898890802,-529.3128142266077, 528.6866463224467
20.54,-529.4375091795119, 528.1096506552684,-529.4151098794125, 528.5656645224783
20.64,-529.3472347185294, 528.3414851243457,-529.3986241586048,  528.495658022651
20.68,-529.316416661259,528.4023461493754, -529.35916143117,528.5422783651562
20.76, -529.314711506941, 528.4143976994487,-529.1196948230389, 528.7833544028611
20.83,-529.2720228362417, 528.5103417968899,-529.2565525815844, 528.6282784299781
20.9,-529.3436297222341, 528.3812365736736,-529.3250624992036, 528.6448520518512
20.94, -529.322071672658, 528.4176891303009,-529.3301355936319, 528.6375826581834
21.04,-529.3868424813948, 528.4086468827082,-529.3077483855214, 528.6333072898201
21.14,-529.3472556226602, 528.6470751350072,-529.3441447714093, 528.4514051203585
21.2,-529.3807039922098,  528.616865112432,-529.3887194491635, 528.4386719775455
21.27,-529.3450034159065, 528.3689687130244,-529.3306598804814, 528.7924471244858
21.34,-529.2890392212297, 528.4805762961126,-529.4651920219891, 528.6277729433801
21.42,-529.4665129076949, 528.4732422412152,-529.3714892709457,  528.589053428239
21.46,-529.2935510869032, 528.7487157928817,-529.2728898750148, 528.6369572468777
21.53,-529.3612654849284, 528.6982856844015,-529.3577853514278, 528.5711419171982
21.6,-529.3231136695033, 528.5033415463229,-529.5321342137382, 528.6616316248454
